cik,ticker,company_name,sic_code,industry,form,fiscal_year,fiscal_period,period_end_date,filed,revenue,net_income,total_assets
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2008,FY,20080630,20100730,60420000000,17681000000,
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2009,FY,20090630,20100730,58437000000,14569000000,77888000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2010,FY,20100630,20100730,62484000000,18760000000,86113000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2011,FY,20110630,20131126,69943000000,23150000000,108704000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2012,FY,20120630,20140731,73723000000,16978000000,121271000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2013,FY,20130630,20151027,77849000000,21863000000,142431000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2014,FY,20140630,20160728,86833000000,22074000000,172384000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2015,FY,20150630,20170802,93580000000,12193000000,174472000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2016,FY,20160630,20180803,91154000000,20539000000,193468000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2017,FY,20170630,20190801,96571000000,25489000000,250312000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2018,FY,20180630,20200730,110360000000,16571000000,258848000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2019,FY,20190630,20210729,125843000000,39240000000,286556000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2020,FY,20200630,20220728,143015000000,44281000000,301311000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2021,FY,20210630,20230727,168088000000,61271000000,333779000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2022,FY,20220630,20241203,198270000000,72738000000,364840000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2023,FY,20230630,20250730,211915000000,72361000000,411976000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2024,FY,20240630,20250730,245122000000,88136000000,512163000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-K,2025,FY,20250630,20250730,281724000000,101832000000,619003000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2007,Q3,20070930,20100730,13762000000,4289000000,
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2007,Q4,20071231,20100730,16367000000,4707000000,
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2008,Q1,20080331,20100730,14454000000,4388000000,
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2008,Q2,20080630,20100730,15837000000,4297000000,
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2008,Q3,20080930,20100730,15061000000,4373000000,
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2008,Q4,20081231,20100730,16629000000,4174000000,
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2009,Q1,20090331,20100730,13648000000,2977000000,
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2009,Q2,20090630,20100730,13099000000,3045000000,77888000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2009,Q3,20090930,20101028,12920000000,3574000000,81612000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2009,Q4,20091231,20110127,19022000000,6662000000,82096000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2010,Q1,20100331,20100730,14503000000,4006000000,84910000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2010,Q2,20100630,20100730,16039000000,4518000000,86113000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2010,Q3,20100930,20101028,16195000000,5410000000,91540000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2010,Q4,20101231,20110127,19953000000,6634000000,92306000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2011,Q1,20110331,20120726,16428000000,5232000000,99727000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2011,Q2,20110630,20120726,17367000000,5874000000,108704000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2011,Q3,20110930,20131126,17372000000,5738000000,107415000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2011,Q4,20111231,20131126,20885000000,6624000000,112243000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2012,Q1,20120331,20131126,17407000000,5108000000,118010000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2012,Q2,20120630,20131126,18059000000,-492000000,121271000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2012,Q3,20120930,20140731,16008000000,4466000000,121876000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2012,Q4,20121231,20140731,21456000000,6377000000,128683000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2013,Q1,20130331,20140731,20489000000,6055000000,134105000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2013,Q2,20130630,20140731,19896000000,4965000000,142431000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2013,Q3,20130930,20151027,18529000000,5244000000,142348000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2013,Q4,20131231,20151027,24519000000,6558000000,153543000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2014,Q1,20140331,20151027,20403000000,5660000000,156119000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2014,Q2,20140630,20151027,23382000000,4612000000,172384000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2014,Q3,20140930,20160728,23201000000,4540000000,169656000000
789019,MSFT,MICROSOFT CORP,7372,Software & Services,10-Q,2014,Q4,20141231,20160728,26470000000,5863000000,174848000000
