# Curated Company List for Market Data Demo
#
# Source: SEC EDGAR company index (https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany)
# License: Public domain (US government work product)
#
# This file contains ~50 well-known US public companies selected for the
# Fabric Sales Agent Accelerator market-data demo path. CIK and SIC codes
# are from SEC EDGAR filings; industry labels are derived from SIC codes.
#
# Columns:
#   cik        - SEC Central Index Key (unique company identifier)
#   ticker     - Stock ticker symbol
#   company_name - Common company name
#   sic_code   - Standard Industrial Classification code
#   industry   - Human-readable industry label
cik,ticker,company_name,sic_code,industry
789019,MSFT,Microsoft,7372,Software & Services
320193,AAPL,Apple,3571,Computer Hardware
1018724,AMZN,Amazon,5961,Retail - Catalog & Mail-Order
1652044,GOOGL,Alphabet,7372,Software & Services
1326801,META,Meta Platforms,7372,Software & Services
1045810,NVDA,NVIDIA,3674,Semiconductors
1318605,TSLA,Tesla,3711,Motor Vehicles
91529,BRK-B,Berkshire Hathaway,6311,Investment Services
2488302,UNH,UnitedHealth Group,6324,Health Insurance
51143,IBM,IBM,7372,Software & Services
21344,KO,Coca-Cola,2086,Beverages
37996,F,Ford Motor,3711,Motor Vehicles
78003,PFE,Pfizer,2834,Pharmaceuticals
66740,MMM,3M,3841,Medical Instruments
200406,JNJ,Johnson & Johnson,2834,Pharmaceuticals
1403161,V,Visa,7372,Software & Services
1141391,MA,Mastercard,7372,Software & Services
34088,XOM,Exxon Mobil,2911,Petroleum Refining
93410,CVX,Chevron,2911,Petroleum Refining
1467858,ABBV,AbbVie,2834,Pharmaceuticals
80424,PG,Procter & Gamble,2840,Soap & Cleaning Products
732717,T,AT&T,4813,Telecommunications
1283699,HD,Home Depot,5211,Retail - Building Materials
1800,ABT,Abbott Laboratories,2834,Pharmaceuticals
1166691,CMG,Chipotle Mexican Grill,5812,Restaurants
1555280,ZTS,Zoetis,2834,Pharmaceuticals
804328,GE,GE Aerospace,3724,Aircraft Engines
12927,BA,Boeing,3721,Aircraft
310158,MRK,Merck,2834,Pharmaceuticals
858877,CRM,Salesforce,7372,Software & Services
1090727,ORCL,Oracle,7372,Software & Services
1065088,CSCO,Cisco Systems,3669,Communications Equipment
1730168,AVGO,Broadcom,3674,Semiconductors
97745,TMO,Thermo Fisher Scientific,3826,Laboratory Instruments
60714,MCD,McDonald's,5812,Restaurants
1551152,PYPL,PayPal,7372,Software & Services
50863,INTC,Intel,3674,Semiconductors
1341439,ADBE,Adobe,7372,Software & Services
1166126,ANET,Arista Networks,3669,Communications Equipment
1091587,SNPS,Synopsys,7372,Software & Services
1045609,AMD,Advanced Micro Devices,3674,Semiconductors
313616,COST,Costco Wholesale,5311,Retail - Department Stores
354950,WMT,Walmart,5331,Retail - Variety Stores
1037676,AMGN,Amgen,2836,Biological Products
70858,BAC,Bank of America,6022,Commercial Banking
72971,WFC,Wells Fargo,6022,Commercial Banking
886982,GS,Goldman Sachs,6211,Security Brokers
19617,JPM,JPMorgan Chase,6022,Commercial Banking
831001,NFLX,Netflix,7812,Motion Picture Distribution
1559720,NOW,ServiceNow,7372,Software & Services
